post_id,post_text,true_label,predicted,correct,sentiment
651118294447951872,"#AntiTerror ""#ArabianBlood"" #RussianFederation in #Syria against #DAISH [""IS""]\n#RussianAviation #AirOperations in... http://t.co/DjLMYpTe3z",fake,real,False,中性
651115824065830912,"#АнтиТеррор ""#АрабскаяКровь"" #РФ в #Сирии против #ДАИШ [""ИГ""]\n#ВоздушнаяОперация #РоссийскойАвиации в #САР... http://t.co/Ws48JXMGJ1",fake,real,False,中性
651095856662360065,"Ну чё, сегодня надавали трендюлей игиловцам по полной.http://t.co/9214Lz5Awn..\nhttps://t.co/gvsdUZmaXa",fake,fake,True,积极
651086828234104832,Действия России в Сирии  безукоризненны. Видео авиаударов по объектам ИГИЛ http://t.co/KG4quIDoTF http://t.co/1dkfmxppJe,fake,fake,True,积极
651034616007106560,5-10-2015\nThe airstrike against an ISIS ammunition depot near Talbiseh settlement (Homs). A number of flashes... http://t.co/TBiUbdLd4U,fake,real,False,消极
651021070842134528,DESTRUCTION COMPLÈTE D'UN ATELIER DE FABRICATION D'EXPLOSIFS ET DE MUNITIONS A HOMS http://t.co/qCbHcuSMqN,fake,fake,True,消极
651014113536020483,ロシア軍のシリア空爆。ホムス近郊で弾薬庫を撃破したと解説にあるけど、相変わらずイスラム国に打撃を与えたと言い張ってる（ホムス近郊には居ない）　https://t.co/NrEPIhLkgB,fake,fake,True,消极
651009053464915968,The airstrike against an @ISIS ammunition depot near Talbiseh settlement (Homs). https://t.co/ZfOvdVj6Hx,fake,real,False,中性
650995498887872512,"Тут САС вчера войну РФ объявила, а тут возле хомса их склад боеприпасов - был.\nhttps://t.co/fR1fCDw6n2",fake,fake,True,消极
650994479860686848,Russian defense ministry releases footage of renewed strikes in #Syria https://t.co/5j4cDUtebl,fake,real,False,中性
650982730889564160,@Jonerwq SYRIA Destruction of #ISIS ammo depot near #Talbiseh (#Homs) by Russian #AirForce https://t.co/fQf7WoeAOA,fake,fake,True,中性
650980592226537472,Rus jetleri #Syria #Homs Telbise yakınıda büyük bir cephaneliği vurdu @mod_russia\nhttps://t.co/1V7mLFux8i,fake,real,False,中性
650979359973593088,Air strikes on ammunition depots terrorists LIH - YouTube https://t.co/ZYCDk3CbcW,fake,fake,True,消极
650977262628679680,#SYRIA Destruction of #ISIS ammo depot near #Talbiseh (#Homs) by Russian #AirForce strike https://t.co/QKy1qDXaRc http://t.co/URJF4I73cn,fake,real,False,中性
650976474191818752,#СИРИЯ Нанесение авиаудара по складу боеприпасов террористов #ИГИЛ близ ТЕЛЛЬ-БИСА https://t.co/QKy1qDXaRc http://t.co/EFmnX5tOCC,fake,real,False,中性
650976015687282688,Уничтожение склада боеприпасов ИГИЛ. https://t.co/mexsTUbDD9 http://t.co/rf42AfsjxM,fake,fake,True,积极
650974638328057856,Rusia publica tres nuevos videos de los bombardeos contra el Estado Islámico en Siria http://t.co/wRGYERZWu5 http://t.co/OlUQRWPbAV,fake,real,False,中性
650971603904385024,Doing Visual Research: Russian airstrikes in #Syria\n#Wargames #PSYOP #WWIII\nhttp://t.co/E98UemstOy,fake,fake,True,消极
650971571461472256,Воздушно-космические силы России. Производим терраформирование. С охватом большой территории по желанию заказчика\nhttp://t.co/TaCKXLcHwg,fake,fake,True,中性
650969555892850689,سلاح الجو الروسي يدمر مستودعات  ذخيرة قرب من قرية تل بيساو في #حمص. http://t.co/QxZ0LSZz3u,fake,fake,True,消极
